snippet,fallacy_detection,category,class
"Well, I don't know about all these percentages that he throws out, but I do know that -- I speculate that the reason why he didn't answer your question directly as to whether my numbers were right, the facts were right about Texas ranking dead last in families with health insurance and 49th out of 50 for both children and women, is because those facts are correct.",0.0,0.0,0.0
"Secondly, in Haiti, political violence is much, much smaller than it was.",0.0,0.0,0.0
"I am eternally optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem.",1.0,0.0,0.0
"It's another to be certain and be right, or to be certain and be moving in the right direction, or be certain about a principle and then learn new facts and take those new facts and put them to use in order to change and get your policy right.",0.0,0.0,0.0
It was once called voodoo economics.,1.0,0.0,0.0
"And when I'm president, I will.",0.0,0.0,0.0
And the money is used to pay the benefits for seniors this year.,0.0,0.0,0.0
"And I don't believe that Arab countries will pursue it when we have a strong president who will protect the integrity of our country, the commitment of our Constitution and Bill of Rights and protect people in this country who happen to be Jews.",0.0,0.0,0.0
"And there are over 70,000 new cases per day.",0.0,0.0,0.0
"But even after we gave in and said, ""All right, let's discuss it all,'' they walked away from the table.",0.0,0.0,0.0
It's very sad.,0.0,0.0,0.0
Did you ask me a question?,0.0,0.0,0.0
Your question was deployment.,0.0,0.0,0.0
I think it's accurate to say that Mr. Ford voted against the uh - Voting Rights Acts and the uh - Civil Rights Acts in their uh - debative stage I think once it was assured they were going to pass he finally voted for it.,0.0,0.0,0.0
"Well, you know, it's hard to make people love one another.",0.0,0.0,0.0
Missy understood that.,0.0,0.0,0.0
"The armed forces, the conventional forces of the United States have never been more ready.",0.0,0.0,0.0
We got intimately involved in building NATO and other structures there.,0.0,0.0,0.0
We passed the bill in the Senate this year but it didn't pass the House.,0.0,0.0,0.0
That's how the United States began to prepare for its great actions in World War II and in the post-war period.,0.0,0.0,0.0
And it should have never happened.,0.0,0.0,0.0
I'm not going to be the kind of president that says you get tax relief and you don't.,0.0,0.0,0.0
I think there ought to be parental notification laws.,0.0,0.0,0.0
"You know, he talks to the workers.",0.0,0.0,0.0
And I think it's time that the wealthy and corporations paid their fair share to support this country.,0.0,0.0,0.0
I don't believe it does.,0.0,0.0,0.0
A free Iraq will help secure Israel.,0.0,0.0,0.0
"No, because they've always wanted this to be an American effort.",0.0,0.0,0.0
That meant immediately 46% of your people that were signing up had no reason for signing up.,0.0,0.0,0.0
I would remind Senator Kennedy of the past fifty years.,0.0,0.0,0.0
But character is an important part of the equation.,0.0,0.0,0.0
"We ended the Korean War; by strong, firm leadership we have kept out of other wars; and we have avoided surrender of principle or territory at the conference table.",0.0,0.0,0.0
And I don't intend to politicize it.,0.0,0.0,0.0
It's unfair and it's unacceptable.,0.0,0.0,0.0
"Now, we're sitting down and talking to the Soviets about strategic arms, and he wants to do away with the Midgetman and the MX, the modernization or our nuclear capability.",0.0,0.0,0.0
And we have a fundamental choice to make.,0.0,0.0,0.0
"The reason health-care costs are getting higher, one of the principal reasons is that this administration has stood in the way of common-sense efforts that would have reduced the costs.",0.0,0.0,0.0
We cannot be satisfied with what we've been doing for the last eight years.,0.0,0.0,0.0
"But with regard to whether Mr. Mondale would be strong, as he said he would be, I know that he has a commercial out where he's appearing on the deck of the Nimitz and watching the F - 14's take off.",0.0,0.0,0.0
So I know it can work; I've seen it happen.,0.0,0.0,0.0
Senator Dole led the fight against the Brady Bill.,0.0,0.0,0.0
We could have done that in Medicare.,0.0,0.0,0.0
"Franklin Roosevelt, Harry Truman, others, knew how to lead.",0.0,0.0,0.0
"We're facing a group of folks who have such hatred in their heart, they'll strike anywhere, with any means.",0.0,0.0,0.0
So let's talk about caring about the American people.,0.0,0.0,0.0
All 50 states did it.,0.0,0.0,0.0
"We're putting more money per child into education, and we are not performing as we should.",0.0,0.0,0.0
"So, we believe that as we continue to reduce the level of government spending -- the increase, rate of increase in government spending, which has come down from 17 to 6 percent, and, at the same time, as the growth in the economy increases the revenues the Government gets, without raising taxes, those two lines will meet.",0.0,0.0,0.0
We exempt small businesses.,0.0,0.0,0.0
Do you really think that our armed forces are really acceptably strong in those areas of conventional capability where they should be?,0.0,0.0,0.0
I say we're learning to live with it.,0.0,0.0,0.0
"This is an - a typical example, maybe of many others, where this administration overthrew an elected government and helped to establish a military dictatorship.",0.0,0.0,0.0
"When they voted -- when they proposed reducing taxes, you voted against it 126 times.",0.0,0.0,0.0
Let me finish.,0.0,0.0,0.0
I'm not interested in his character.,0.0,0.0,0.0
"The president's policies throughout the Middle East began with an apology tour and -- and -- and pursue a strategy of leading from behind, and this strategy is unraveling before our very eyes.",0.0,0.0,0.0
Go to johnkerry.com.,0.0,0.0,0.0
"Because even though we have maintained, as I pointed out in our first debate, the absolute gap over the Soviet Union; even though the growth in this Administration has been twice as much as it was in the Truman Administration; that isn't good enough.",0.0,0.0,0.0
"They're always very loyal to us, and I appreciate that.",0.0,0.0,0.0
"In the election of 1960, and with the world around us, the question is whether the world will exist half-slave or half-free, whether it will move in the direction of freedom, in the direction of the road that we are taking, or whether it will move in the direction of slavery.",0.0,0.0,0.0
It came right up.,0.0,0.0,0.0
In Africa - these countries that have newly joined the United Nations.,0.0,0.0,0.0
We expressed regrets for a flight over Eastern Germany under this Administration.,0.0,0.0,0.0
"It cut funds to clean up toxic waste dumps with 10 million of our kids still living within four miles of a toxic waste dump, by a third.",0.0,0.0,0.0
"And, so, I'm encouraged with what I see when I talk to Mr. -- what I hear when I talk to Mr. Gorbachev and Mr. Shevardnadze, but can they pull it off.",0.0,0.0,0.0
"But yet, after conceding that, he still says that he would oppose the surge if he had to decide that again today.",0.0,0.0,0.0
"I think if you look at the record from voting for sending the troops then voting against the resources they needed when they got there, then saying I actually voted for the $87 billion before I voted against it, saying in response to a question knowing everything I know now, yes, I would have cast exactly the same vote and then shortly after that saying wrong war, wrong place, wrong time, consistency doesn't come to mind as I consider that record.",0.0,0.0,0.0
We have double-digit inflation in health care costs.,0.0,0.0,0.0
"The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way.",0.0,0.0,0.0
"The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom.",1.0,0.0,0.0
"You know, here's what I would say.",0.0,0.0,0.0
"I also would like to point out that Republican presidents in those years, faced with a Democratic majority in both houses of the Congress, found that their requests for defense budgets were very often cut.",0.0,0.0,0.0
In businesses that can create the new energy economy of the future.,0.0,0.0,0.0
And I don't appreciate it when a candidate for president denigrates the contributions of these brave soldiers.,1.0,0.0,0.0
And I think that's where maybe the vice president and I begin to have some differences.,0.0,0.0,0.0
I don't know if that's exactly accurate or not.,0.0,0.0,0.0
Now Senator Kennedy has referred to the vote on Communist China.,0.0,0.0,0.0
And I want to reassure our allies in Japan and South Korea and elsewhere that we have mutual defense treaties and we will honor them.,0.0,0.0,0.0
That's what a President's for.,0.0,0.0,0.0
"Because by his own budget numbers, his proposals for spending on tax cuts for the wealthiest of the wealthy are more than the new spending proposals that he has made for health care and education and national defense all combined.",0.0,0.0,0.0
"As soon as we're completed with the deal, I want to release it.",0.0,0.0,0.0
"I'm running to be a president who happens to be Catholic. """,0.0,0.0,0.0
"We have endorsements from, I think, almost every police group, very—I mean, a large percentage of them in the United States.",1.0,1.0,1.0
"Well, I think cyber security, cyber warfare will be one of the biggest challenges facing the next president, because clearly we're facing at this point two different kinds of adversaries.",0.0,0.0,0.0
"You know, remember ""shock and awe""?",0.0,0.0,0.0
That's not right.,0.0,0.0,0.0
They will have free elections next January for the first time in history.,0.0,0.0,0.0
"The African-American community—because—look, the community within the inner cities has been so badly treated.",0.0,0.0,0.0
"Well, Mr. Cater, of course it's a criticism that uh - is being made.",0.0,0.0,0.0
"If we raise the minimum wage, which I will do over several years to $7 an hour, 9.",0.0,0.0,0.0
"And in return, get one-fifth of the benefits, because most of the tax reductions go to the people at the bottom end of the economic ladder.",0.0,0.0,0.0
"And so, the answer to your question is: When our general is on the ground and Ambassador Negroponte tells me that Iraq is ready to defend herself from these terrorists, that elections will have been held by then, that their stability and that they're on their way to, you know, a nation that's free; that's when.",0.0,0.0,0.0
He chose a tax cut for wealthy Americans over the things that I listed to you.,0.0,0.0,0.0
You take a look at Mosul.,0.0,0.0,0.0
And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here.,0.0,0.0,0.0
I'll tell you what.,0.0,0.0,0.0
"Health insurance premiums, up $2,500.",0.0,0.0,0.0
"And on that basis and that basis alone, we make a decision on every issue.",0.0,0.0,0.0
"I believe America's best days are ahead of us. I'm an optimist, but we have to make the right choices, to be fiscally responsible and to create the new jobs of the future.",1.0,0.0,0.0
"Here again, may I indicate that Senator Kennedy and I are not in disagreement as to the aims.",0.0,0.0,0.0
"So you said you went to Delaware State, but you forgot the name of your college.",0.0,0.0,0.0
The laws regarding that always were State laws.,0.0,0.0,0.0
"During the years between World War I and World War II, a great lesson was learned by our military leaders and the people of the United States.",0.0,0.0,0.0
I just don't think it's fair to tax people's assets twice regardless of your status.,0.0,0.0,0.0
"Well, let me give you some advice.",0.0,0.0,0.0
This keeps up with technology.,0.0,0.0,0.0
And that's the kind of presidency I want to lead.,0.0,0.0,0.0
"We just heard the President's answer for the problems at the barracks in Lebanon, where 241 marines were killed.",0.0,0.0,0.0
The Reagan-Bush administration was right.,0.0,0.0,0.0
"Now, when you look at what Germany pays for money and what we don't pay for money, you realize there's quite a spread, right, and you realize this is a temporary thing and there's going to be another sucking sound that runs our deficit through the roof.",0.0,0.0,0.0
And the notion that we would sit with Ahmadinejad and not say anything while he's spewing his nonsense and his vile comments is ridiculous.,0.0,0.0,0.0
We now have defense systems that the costs are completely out of control.,0.0,0.0,0.0
It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,0.0,0.0,0.0
We have people that want to fight both at the same time.,0.0,0.0,0.0
"But I would like to shift, if I could, to the big issue of education.",0.0,0.0,0.0
And with inspiration and hard work we can achieve great things.,0.0,0.0,0.0
Senator Obama talks about the budgets I voted for.,0.0,0.0,0.0
"I cannot believe I'm saying that about myself, but I guess I have been a politician.",0.0,0.0,0.0
"I said from the beginning that we ought to continue research into the strategic system at about the level that was added in 1983, that's about a billion dollars a year.",0.0,0.0,0.0
"We cannot frighten, as we have with the threats and the campaign rhetoric that has gone on in this campaign, our senior citizens - leave them thinking that in some way, they're endangered and they would have no place to turn.",0.0,0.0,0.0
"I think it's very important that we have an administration where we have a president with firm leadership who has the kind of track record of dealing straight with people, of keeping his word so friends and allies both respect us and our adversaries fear us.",0.0,0.0,0.0
In the first place I've never suggested that Cuba was lost except for the present.,0.0,0.0,0.0
"If the American people send me up to do this job, I intend to be there one term.",0.0,0.0,0.0
I can sometimes take myself too seriously.,0.0,0.0,0.0
And here's the thing.,0.0,0.0,0.0
A president sets the strategy and relies upon good military people to execute that strategy.,0.0,0.0,0.0
We want a partnership.,0.0,0.0,0.0
"Like you, I'm concerned about the deficit.",0.0,0.0,0.0
"And in many cases, they're illegally here, illegal immigrants.",0.0,0.0,0.0
"It is true over 10 years ago I voted to delay production of the F - 14, and I'll tell you why.",0.0,0.0,0.0
"I'm sorry, I didn't hear that.",0.0,0.0,0.0
"I few have experience and now how to handle it, but please do not go back to the days when the military was as weak as they could be, when the morale was down, and when we were the laughing stock around the world.",0.0,0.0,0.0
I want to make sure the education system fulfills its hope and promise.,0.0,0.0,0.0
It's time for a fresh start after a season of cynicism.,1.0,0.0,0.0
"I don't know if that was a criminal issue or a paternal issue, but the fact is that it was $3 million of our taxpayers' money.",0.0,0.0,0.0
"So if you're looking at a competitive world, you say to yourself, ""Hey, I do better overseas than I do here in America. """,0.0,0.0,0.0
Everybody's running against the incumbent.,0.0,0.0,0.0
"And it seems to me that if you take a look, are you better off?",0.0,0.0,0.0
We've got all kinds of giveaways.,0.0,0.0,0.0
But anybody who suggests that that program would c- come to any figure indicated by the Vice President is in error.,0.0,0.0,0.0
"And secondly, although Governor Bush says that his tax cut program, large as it is, gives a tax cut to everybody, as the newspapers indicated earlier this week, the Joint Committee on Taxation, again a nonpartisan group in Congress, says that 27 million Americans don't get what the governor said they would in the tax program.",0.0,0.0,0.0
"And to spend billions and billions of dollars as Mr. Bush apparently wants to, although, he, himself has been all over the lot on this issue lately-on Star Wars-in my judgment makes no sense at all.",0.0,0.0,0.0
It's an issue throughout our society.,0.0,0.0,0.0
"Well, first of all, I do agree that we've been largely absent, not entirely absent, but largely absent from the peace-making process over the last four years.",0.0,0.0,0.0
"They've taken to the streets to support their democracy, to support their vote.",0.0,0.0,0.0
"This is a leadership role that the United States under this administration is carrying out, and if we do it, and I think the opportunities and the possibilities are getting better, we will have solved many of the internal domestic problems that exist in South Korea at the present time.",0.0,0.0,0.0
"I mean, we've seen over and over and over the misjudgments made by this administration.",0.0,0.0,0.0
"People who fly on airplanes today, the cargo hold is not X-rayed, but the baggage is.",0.0,0.0,0.0
"I've also suggested that there are weapons systems that we should proceed on, and I've outlined those in detail.",0.0,0.0,0.0
I'm going to do it in four years.,0.0,0.0,0.0
And then you bring up Wall Street?,0.0,0.0,0.0
And she lied.,1.0,1.0,2.0
"But I am uh - very glad to point out that since 1969, during a Republican administrations, we have had ten million people taken off of the tax rolls at the lower end of the taxpayer area.",0.0,0.0,0.0
I'm for research and development.,0.0,0.0,0.0
"Well, sure.",0.0,0.0,0.0
And there is no system.,0.0,0.0,0.0
"I have been talking to a number of Congressmen who have much the same idea that I have, and that is that in the inner city areas, that in cooperation with the local government and the national Government, and using tax incentives and with cooperating with the private sector, that we have development zones.",1.0,1.0,1.0
Now the Senator referred to the Committee on Government Contracts.,0.0,0.0,0.0
We didn't think that was right.,0.0,0.0,0.0
And the compounding rate of interest effect will make it more likely that the Social Security system is solvent for our children and our grandchildren.,0.0,0.0,0.0
"So, we've got to move forward with those negotiations, get the level of strategic weapons down.",0.0,0.0,0.0
He's overtaken it.,0.0,0.0,0.0
"There is a crime bill which would put more police on the street, which was killed for this session by a filibuster in the Senate, mostly be Republican senators, and I think it's a shame it didn't pass, I think it should be made the law -- but it had the Brady bill in it, the waiting period.",1.0,0.0,0.0
"Sidney Blumenthal sent a reporter—you just have to take a look at CNN, the last week, the interview with your former campaign manager.",0.0,0.0,0.0
"We will green-line every city in the United States where there is unemployment and welfare and we will eliminate the Capital Gains Tax, eliminate the tax on a welfare mother that takes a job.",0.0,0.0,0.0
"We want to balance this budget, get back to fiscal responsibility.",0.0,0.0,0.0
"And it's not the fact -- it's not the fact that Senator Obama chooses to associate with a guy who in 2001 said that he wished he had have bombed more, and he had a long association with him.",0.0,0.0,0.0
But I want all the children -- I want these young people up here to be able to start with nothing but an idea like I did and build a business.,0.0,0.0,0.0
The interests of the American people must be at stake.,0.0,0.0,0.0
Because you'd be in jail.,1.0,0.0,0.0
He should have produced it a long time before.,0.0,0.0,0.0
I think that afterschool money ought to be available for faith-based programs and charitable programs that exist because somebody has heard the call to love a neighbor like you would like to be loved yourself.,0.0,0.0,0.0
6 trillion surplus in the '90s that was for the purpose of saving Social Security.,0.0,0.0,0.0
"Joe, you've had 308,000 military people dying because you couldn't provide them proper healthcare in the military.",1.0,1.0,2.0
"It would be an open invitation for Mr. Khrushchev to come in, to come into Latin America and to engage us in what would be a civil war, and possibly even worse than that.",0.0,0.0,0.0
That tax bill does not entirely meet the criteria that I established.,0.0,0.0,0.0
"These are unidentified people, and after the bomb goes off, they're blown to bits because they are suicidal individuals who think they're going to go to paradise if they perpetrate such an act and lose their life in doing it.",0.0,0.0,0.0
They won't get behind.,0.0,0.0,0.0
"For 40 years, the Republican Party platforms called for guaranteeing women equal rights with a constitutional amendment.",0.0,0.0,0.0
"But I do know that if the president of the United States and the Congress of the United States and the people of the United States said, ""I believe our nation is greater than what we are now.""",1.0,0.0,5.0
I'm not so sure the role of the United States is to go around the world and say this is the way it's got to be.,0.0,0.0,0.0
"Well, the invasion of Afghanistan didn't take place on our watch.",0.0,0.0,0.0
"And, as I say, I don't believe that I could carry on unless I had a belief in a higher authority and a belief that prayers are answered.",0.0,0.0,0.0
"And the answer is, no, I will not have a litmus test.",0.0,0.0,0.0
"And as a result, they're like tinderboxes.",0.0,0.0,0.0
"Now, there's more work to do.",0.0,0.0,0.0
We now have five nations that have atomic bombs that we know about.,0.0,0.0,0.0
I'm going to give you a tax cut.,0.0,0.0,0.0
"It looks like a bombed-out city - great, gaunt skeletons of buildings. Windows smashed out, painted on one of them ""Unkept promises;"" on another, ""Despair.""",1.0,0.0,0.0
"And what I want to do, is build on the five million jobs that we've created over the last 30 months in the private sector alone.",0.0,0.0,0.0
I take the pledge.,0.0,0.0,0.0
We need to speed up the reconstruction so the Iraqis see some tangible benefit.,0.0,0.0,0.0
Bad cops are bad for good cops.,0.0,0.0,0.0
We have gone from the biggest deficits to the biggest surpluses.,1.0,2.0,3.0
It's still the most respected credit.,0.0,0.0,0.0
But here's the point he misses.,0.0,0.0,0.0
Treating people with dignity.,0.0,0.0,0.0
More than 90% of America's children go to public schools.,0.0,0.0,0.0
I don't dislike trial lawyers.,0.0,0.0,0.0
They're against the American way.,0.0,0.0,0.0
"But when the debate is over, we come together as Americans.",1.0,0.0,0.0
Senator Dole is correct.,0.0,0.0,0.0
"But, again, spending more money isn't always the answer.",0.0,0.0,0.0
But let me comment on the report.,0.0,0.0,0.0
"But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure.",1.0,1.0,1.0
I do think that there is a good chance that we can take Mosul.,0.0,0.0,0.0
"Secondly, Senator Dole, you voted against the crime bill that had the death penalty for drug kingpins in it.",0.0,0.0,0.0
I served for eight years in the United States Senate and served on the Armed Services Committee.,0.0,0.0,0.0
Secretary Clinton has done an extraordinary job.,0.0,0.0,0.0
They're not taken care of.,0.0,0.0,0.0
"And I have a plan that will take the catastrophic cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable.",1.0,0.0,0.0
"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",0.0,0.0,0.0
You don't get any gun.,0.0,0.0,0.0
All these other countries are looking to us.,0.0,0.0,0.0
I could have gone on forever.,0.0,0.0,0.0
Just on Monday of this week I signed a tax bill that included an amendment that would prevent companies in the United States from taking a tax deduction if they have in any way whatsoever cooperated with the Arab boycott.,0.0,0.0,0.0
And I think that's shocking; it's shameful.,1.0,0.0,0.0
You cannot lead if you send mixed messages.,0.0,0.0,0.0
"Well, they should look at our proposals and look at us as people and make up their own minds.",0.0,0.0,0.0
So I would send two to three additional brigades to Afghanistan.,0.0,0.0,0.0
"There I took on everything from transnational criminal organizations, to the big banks that were taking advantage of homeowners, to for profit colleges that were taking advantage of veterans.",0.0,0.0,0.0
That is unacceptable.,0.0,0.0,0.0
"You know, the President said he was going to cut defense $60 billion, he cut defense $112 billion.",0.0,0.0,0.0
"In addition to that, I believe that this element of discrimination is something that the South has seen so vividly as a blight on our region of the country which has now been corrected - not only racial discrimination but discrimination against people that have to work for a living - because we have been trying to pick ourselves up by our bootstraps, since the long depression years, and lead a full and useful life in the affairs of this country. We have made remarkable success.",1.0,0.0,0.0
It is not a government takeover.,0.0,0.0,0.0
"And it just, it brings me to, you know, the eight minutes and 46 seconds that America witnessed, during which an American man was tortured and killed under the knee of an armed, uniformed police officer.",1.0,0.0,0.0
"There was a time when there was hope for those who uh - were poor and downtrodden and who were - uh elderly or who were - uh ill or who were in minority groups, but that time has been gone.",0.0,0.0,0.0
And that's my view now.,0.0,0.0,0.0
We can compete with anyone in the world as long as the playing field is level.,0.0,0.0,0.0
"It was asked how, if we would squeeze down so fast that we would strangle the economy in the process.",0.0,0.0,0.0
"And I suspect, given his record, he's going to raise taxes.",0.0,0.0,0.0
I believe that we ought to keep guns out of the hands of people that shouldn't have them.,0.0,0.0,0.0
My plan is Social Security plus.,0.0,0.0,0.0
"Mr. Cronkite, I naturally am aware of it, because I, of course, pay attention to everything Senator Kennedy says, as well as Senator Fulbright.",0.0,0.0,0.0
"I sent up my budget man to the Congress, and he says, here's how we're going to reduce the deficit in half by five years.",0.0,0.0,0.0
There's a big difference between these two tickets.,0.0,0.0,0.0
We know that when we went into Afghanistan that he then migrated to Baghdad.,0.0,0.0,0.0
"'', he said, ""Cut those things I asked for but didn't get.''",0.0,0.0,0.0
"Now, I have a basic disagreement with Senator Kennedy, though, on this point.",0.0,0.0,0.0
They were first against the 9/11 Commission; then they were for it.,0.0,0.0,0.0
We closed it down because of the China plague.,0.0,0.0,0.0
And so people are going to have to look at the record.,0.0,0.0,0.0
But there's also the issue of responsibility.,0.0,0.0,0.0
Its not the amount of time you spend in Washington.,0.0,0.0,0.0
He will kill it.,1.0,0.0,0.0
"Thirty-seven years in the Navy, and only one of them up there in Washington.",0.0,0.0,0.0
That's what I'm all about.,0.0,0.0,0.0
"I believe that Ronald Reagan, John Kennedy, and the others did that more effectively, and I'm going to try to follow in their footsteps.",1.0,1.0,1.0
"I'm not satisfied when many of our teachers are inadequately paid, or when our children go to school part-time shifts.",0.0,0.0,0.0
These problems are not easy.,0.0,0.0,0.0
"Secondly, whether or not the mission was clear.",0.0,0.0,0.0
He talks about a grand idea: Let's have a summit; we're going to solve the problem in Iraq by holding a summit.,0.0,0.0,0.0
"First of all, it's a balanced budget amendment to the Constitution which President Clinton defeated.",0.0,0.0,0.0
And that's what we've done.,0.0,0.0,0.0
I think most people know that I did not seek the presidency.,0.0,0.0,0.0
I vowed to our countrymen that I would do everything I could to protect the American people.,0.0,0.0,0.0
So it's not that we always disagree.,0.0,0.0,0.0
The governor will not put Medicare in a lockbox.,0.0,0.0,0.0
"Baghdadi had held her for 18 months, abused her mercilessly before they killed her.",0.0,0.0,0.0
The U-2 flights were proper from the point of view of protecting our security.,0.0,0.0,0.0
It is essential that America's word be good.,0.0,0.0,0.0
"So, President Trump has made a commitment to conservation and to the environment.",0.0,0.0,0.0
That's the point I made.,0.0,0.0,0.0
Tens of thousands of people already voted and so the thing that should happen is we should wait.,0.0,0.0,0.0
"Now, Governor Romney just said, you know he wants to help those young people too, but during the Republican primary, he said, ""I will veto the DREAM Act"", that would allow these young people to have access.""",0.0,0.0,0.0
"Now, on arms control, we're completing 4 years.",0.0,0.0,0.0
He's extending the Administration's commitment.,0.0,0.0,0.0
"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",0.0,0.0,0.0
"And when she brought a suit, saying equal pay for equal work, the judges said, well, you know, it's taken you too long to bring this lawsuit, even though she didn't know about it until fairly recently.",0.0,0.0,0.0
